№,Наименование,Цена,количество,Сумма!
1,IP-камера  5Мп ,6500,6,39000
2,Разъёмы RJ-45+питание,70,6,420
3,Установка  камер,3000,6,18000
4,Гермобокс,75,6,450
7,Регистратор аналоговый 5 Мп 4 кан,5800,1,5800
5,Витая пара руб./м,50,305,15250
6,Жесткий диск 1 ТБ,4000,1,4000
8,Блок питания 3 А,1300,1,1300
,Итого,,,84220
